task,level,threshold,n_total,n_positive,n_negative,positive_rate
ABTS_TEAC,clf1_active,0.5,142,102,40,0.7183098591549296
ABTS_TEAC,clf2_medium,1.0,142,81,61,0.5704225352112676
ABTS_TEAC,clf3_strong,2.0,142,40,102,0.28169014084507044
DPPH_TEAC,clf1_active,0.5,91,56,35,0.6153846153846154
DPPH_TEAC,clf2_medium,1.0,91,39,52,0.42857142857142855
DPPH_TEAC,clf3_strong,2.0,91,21,70,0.23076923076923078
FRAP_TEAC,clf1_active,0.5,42,21,21,0.5
FRAP_TEAC,clf2_medium,1.0,42,10,32,0.23809523809523808
FRAP_TEAC,clf3_strong,2.0,42,6,36,0.14285714285714285
ORAC_TEAC,clf1_active,0.5,23,22,1,0.9565217391304348
ORAC_TEAC,clf2_medium,1.0,23,15,8,0.6521739130434783
ORAC_TEAC,clf3_strong,2.0,23,7,16,0.30434782608695654
ABTS_pIC50,clf1_active,4.0,16,9,7,0.5625
ABTS_pIC50,clf2_medium,5.0,16,9,7,0.5625
ABTS_pIC50,clf3_strong,6.0,16,9,7,0.5625
DPPH_pIC50,clf1_active,4.0,95,47,48,0.49473684210526314
DPPH_pIC50,clf2_medium,5.0,95,41,54,0.43157894736842106
DPPH_pIC50,clf3_strong,6.0,95,29,66,0.30526315789473685
FRAP_pIC50,clf1_active,4.0,55,55,0,1.0
FRAP_pIC50,clf2_medium,5.0,55,51,4,0.9272727272727272
FRAP_pIC50,clf3_strong,6.0,55,47,8,0.8545454545454545
ABTS_VCEAC,clf1_active,50.0,27,22,5,0.8148148148148148
ABTS_VCEAC,clf2_medium,100.0,27,19,8,0.7037037037037037
ABTS_VCEAC,clf3_strong,150.0,27,11,16,0.4074074074074074
